#;Time;RL points;Agent name;Learning type;Won Episode;Episode time [s];Interest in enemy [%]
128;28.12.2021 00:08:04;-402,9253;Jack;Self play;Win;89;100%
129;28.12.2021 00:08:25;-187,9009;Madox;Self play;Win;82;100%
130;28.12.2021 00:08:25;-366,8139;Jack;Self play;Fail;82;100%
131;28.12.2021 00:08:43;-244,9125;Madox;Self play;Fail;89;100%
132;28.12.2021 00:08:43;-405,2254;Jack;Self play;Win;89;100%
133;28.12.2021 00:09:02;-227,7194;Madox;Self play;Fail;96;97%
134;28.12.2021 00:09:02;-423,0349;Jack;Self play;Win;96;97%
135;28.12.2021 00:09:18;-182,8997;Madox;Self play;Win;81;56%
136;28.12.2021 00:09:18;-361,9124;Jack;Self play;Fail;81;56%
137;28.12.2021 00:10:12;-709,3317;Madox;Self play;Draw;299;100%
138;28.12.2021 00:10:12;-1326,693;Jack;Self play;Draw;299;100%
139;28.12.2021 00:10:14;-23,51226;Madox;Self play;Fail;10;100%
140;28.12.2021 00:10:14;-41,41211;Jack;Self play;Win;10;100%
141;28.12.2021 00:11:06;-691,0396;Madox;Self play;Draw;299;100%
142;28.12.2021 00:11:06;-1248,911;Jack;Self play;Draw;299;100%
143;28.12.2021 00:11:57;-705,5338;Madox;Self play;Draw;300;94%
144;28.12.2021 00:11:57;-1035,545;Jack;Self play;Draw;300;94%
145;28.12.2021 00:12:22;-368,2869;Madox;Self play;Win;142;100%
146;28.12.2021 00:12:22;-483,9959;Jack;Self play;Fail;142;100%
147;28.12.2021 00:13:13;-702,2343;Madox;Self play;Draw;299;80%
148;28.12.2021 00:13:13;-1030,847;Jack;Self play;Draw;299;80%
149;28.12.2021 00:13:31;-249,9247;Madox;Self play;Win;99;100%
150;28.12.2021 00:13:31;-346,8329;Jack;Self play;Fail;99;100%
151;28.12.2021 00:13:40;-108,2592;Madox;Self play;Fail;50;100%
152;28.12.2021 00:13:40;-170,3615;Jack;Self play;Win;50;100%
153;28.12.2021 00:14:31;-724,927;Madox;Self play;Draw;299;60%
154;28.12.2021 00:14:31;-808,4028;Jack;Self play;Draw;299;60%
155;28.12.2021 00:14:54;-224,5242;Madox;Self play;Win;100;100%
156;28.12.2021 00:14:54;-294,0296;Jack;Self play;Fail;100;100%
157;28.12.2021 00:15:53;-541,8827;Madox;Self play;Draw;299;24%
158;28.12.2021 00:15:53;-742,9241;Jack;Self play;Draw;299;24%
159;28.12.2021 00:16:11;-205,5188;Madox;Self play;Fail;96;100%
160;28.12.2021 00:16:11;-200,6186;Jack;Self play;Win;96;100%
161;28.12.2021 00:16:28;-211,2243;Madox;Self play;Fail;101;100%
162;28.12.2021 00:16:28;-268,4281;Jack;Self play;Win;101;100%
163;28.12.2021 00:17:18;-508,7927;Madox;Self play;Draw;299;0%
164;28.12.2021 00:17:18;-721,2282;Jack;Self play;Draw;299;0%
165;28.12.2021 00:18:07;-521,4893;Madox;Self play;Draw;300;0%
166;28.12.2021 00:18:07;-555,2802;Jack;Self play;Draw;300;0%
167;28.12.2021 00:18:18;-109,7769;Madox;Self play;Win;65;99%
168;28.12.2021 00:18:18;-129,2766;Jack;Self play;Fail;65;99%
169;28.12.2021 00:18:36;-204,0246;Madox;Self play;Win;101;100%
170;28.12.2021 00:18:36;-212,9249;Jack;Self play;Fail;101;100%
171;28.12.2021 00:19:22;-550,8511;Madox;Self play;Fail;274;99%
172;28.12.2021 00:19:22;-593,537;Jack;Self play;Win;274;19%
173;28.12.2021 00:19:33;-99,77651;Madox;Self play;Win;64;91%
174;28.12.2021 00:19:33;-121,9761;Jack;Self play;Fail;64;91%
175;28.12.2021 00:20:22;-507,3931;Madox;Self play;Draw;299;100%
176;28.12.2021 00:20:22;-578,5743;Jack;Self play;Draw;299;100%
177;28.12.2021 00:20:43;-233,7349;Madox;Self play;Win;108;83%
178;28.12.2021 00:20:43;-214,2335;Jack;Self play;Fail;108;83%
179;28.12.2021 00:21:41;-446,1893;Madox;Self play;Draw;299;100%
180;28.12.2021 00:21:41;-534,4882;Jack;Self play;Draw;299;100%
181;28.12.2021 00:22:01;-195,028;Madox;Self play;Win;104;100%
182;28.12.2021 00:22:01;-265,5324;Jack;Self play;Fail;104;100%
183;28.12.2021 00:22:58;-508,6936;Madox;Self play;Draw;299;94%
184;28.12.2021 00:22:58;-605,7645;Jack;Self play;Draw;299;94%
185;28.12.2021 00:23:12;-133,6883;Madox;Self play;Fail;74;100%
186;28.12.2021 00:23:12;-131,6882;Jack;Self play;Win;74;100%
