#;Time;RL points;Agent name;Learning type;Won episode;Episode iterations;Episode time [s];Interest in enemy [%]
137;31.12.2021 06:03:26;-208,3703;Madox;Self play;Fail;6;1610;12%
138;31.12.2021 06:03:26;-611,6582;Jack;Self play;Win;6;1610;26%
139;31.12.2021 06:03:28;-2,964997;Madox;Self play;Win;1;12;100%
140;31.12.2021 06:03:28;-7,42501;Jack;Self play;Fail;1;12;100%
141;31.12.2021 06:04:48;-61,79219;Madox;Self play;Win;2;422;100%
142;31.12.2021 06:04:48;-47,6795;Jack;Self play;Fail;2;422;100%
143;31.12.2021 06:05:08;-23,77529;Madox;Self play;Fail;1;101;100%
144;31.12.2021 06:05:08;-19,90652;Jack;Self play;Win;1;101;100%
145;31.12.2021 06:05:22;-8,595174;Madox;Self play;Win;1;75;76%
146;31.12.2021 06:05:22;-14,16933;Jack;Self play;Fail;1;75;100%
147;31.12.2021 06:06:31;-25,09055;Madox;Self play;Win;2;330;21%
148;31.12.2021 06:06:31;-41,80498;Jack;Self play;Fail;2;330;100%
149;31.12.2021 06:06:51;-20,2902;Madox;Self play;Fail;1;101;100%
150;31.12.2021 06:06:51;-12,19367;Jack;Self play;Win;1;101;100%
151;31.12.2021 06:06:58;-11,09058;Madox;Self play;Fail;1;31;95%
152;31.12.2021 06:06:58;-6,442121;Jack;Self play;Win;1;31;95%
153;31.12.2021 06:07:02;-2,230492;Madox;Self play;Win;1;20;100%
154;31.12.2021 06:07:02;-8,610046;Jack;Self play;Fail;1;20;100%
155;31.12.2021 06:07:26;-19,66261;Madox;Self play;Fail;1;129;55%
156;31.12.2021 06:07:26;-18,55026;Jack;Self play;Win;1;129;55%
157;31.12.2021 06:08:30;-39,80983;Madox;Self play;Fail;2;349;60%
158;31.12.2021 06:08:30;-37,07842;Jack;Self play;Win;2;349;26%
159;31.12.2021 06:08:37;-4,349359;Madox;Self play;Win;1;38;96%
160;31.12.2021 06:08:37;-8,485012;Jack;Self play;Fail;1;38;96%
161;31.12.2021 06:08:58;-5,815402;Madox;Self play;Win;1;104;100%
162;31.12.2021 06:08:58;-26,05026;Jack;Self play;Fail;1;104;100%
163;31.12.2021 06:09:02;-2,425493;Madox;Self play;Win;1;16;100%
164;31.12.2021 06:09:02;-7,930031;Jack;Self play;Fail;1;16;100%
165;31.12.2021 06:10:14;-56,01107;Madox;Self play;Fail;2;379;20%
166;31.12.2021 06:10:14;-100,4121;Jack;Self play;Win;2;379;20%
167;31.12.2021 06:13:23;-133,0816;Madox;Self play;Win;4;941;35%
168;31.12.2021 06:13:23;-434,6209;Jack;Self play;Fail;4;941;16%
169;31.12.2021 06:13:32;-14,66168;Madox;Self play;Fail;1;48;100%
170;31.12.2021 06:13:32;-18,15038;Jack;Self play;Win;1;48;100%
171;31.12.2021 06:17:44;-227,4351;Madox;Self play;Win;5;1305;74%
172;31.12.2021 06:17:44;-433,032;Jack;Self play;Fail;5;1305;74%
173;31.12.2021 06:17:59;-25,50055;Madox;Self play;Win;1;76;100%
174;31.12.2021 06:17:59;-21,15232;Jack;Self play;Fail;1;76;100%
175;31.12.2021 06:18:04;-6,133598;Madox;Self play;Win;1;22;100%
176;31.12.2021 06:18:04;-7,605031;Jack;Self play;Fail;1;22;100%
177;31.12.2021 06:23:13;-254,1716;Madox;Self play;Win;6;1561;77%
178;31.12.2021 06:23:14;-312,6896;Jack;Self play;Fail;6;1561;94%
179;31.12.2021 06:24:36;-66,91368;Madox;Self play;Fail;2;461;78%
180;31.12.2021 06:24:36;-56,80692;Jack;Self play;Win;2;461;50%
181;31.12.2021 06:25:35;-29,21032;Madox;Self play;Fail;2;315;17%
182;31.12.2021 06:25:35;-37,75033;Jack;Self play;Win;2;315;100%
183;31.12.2021 06:25:55;-25,36779;Madox;Self play;Fail;1;110;100%
184;31.12.2021 06:25:55;-21,13269;Jack;Self play;Win;1;110;100%
185;31.12.2021 06:28:18;-101,0841;Madox;Self play;Fail;3;676;95%
186;31.12.2021 06:28:18;-79,27474;Jack;Self play;Win;3;676;95%
187;31.12.2021 06:29:16;-12,40545;Madox;Self play;Win;2;315;14%
188;31.12.2021 06:29:16;-43,72493;Jack;Self play;Fail;2;315;100%
189;31.12.2021 06:29:20;-6,042501;Madox;Self play;Fail;1;21;100%
190;31.12.2021 06:29:20;-5,190136;Jack;Self play;Win;1;21;100%
191;31.12.2021 06:29:24;-8,385038;Madox;Self play;Fail;1;18;100%
192;31.12.2021 06:29:24;-0,4854949;Jack;Self play;Win;1;18;100%
193;31.12.2021 06:30:43;-39,05655;Madox;Self play;Fail;2;414;32%
194;31.12.2021 06:30:43;-62,67627;Jack;Self play;Win;2;414;72%
195;31.12.2021 06:34:46;-133,0255;Madox;Self play;Fail;5;1215;77%
196;31.12.2021 06:34:46;-146,1179;Jack;Self play;Win;5;1215;77%
197;31.12.2021 06:34:50;-3,930542;Madox;Self play;Win;1;18;100%
198;31.12.2021 06:34:50;-7,060015;Jack;Self play;Fail;1;18;100%
199;31.12.2021 06:35:14;-11,64701;Madox;Self play;Win;1;136;79%
200;31.12.2021 06:35:14;-20,10211;Jack;Self play;Fail;1;136;80%
201;31.12.2021 06:35:24;-14,9001;Madox;Self play;Fail;1;54;100%
202;31.12.2021 06:35:24;-4,800585;Jack;Self play;Win;1;54;100%
203;31.12.2021 06:36:26;-75,09514;Madox;Self play;Fail;2;313;100%
204;31.12.2021 06:36:26;-18,02521;Jack;Self play;Win;2;313;100%
205;31.12.2021 06:36:30;-2,914993;Madox;Self play;Win;1;19;100%
206;31.12.2021 06:36:30;-8,720049;Jack;Self play;Fail;1;19;100%
207;31.12.2021 06:36:49;-19,10251;Madox;Self play;Win;1;105;92%
208;31.12.2021 06:36:49;-18,62505;Jack;Self play;Fail;1;105;92%
209;31.12.2021 06:37:04;-26,3202;Madox;Self play;Fail;1;82;33%
210;31.12.2021 06:37:04;-7,035198;Jack;Self play;Win;1;82;33%
211;31.12.2021 06:37:24;-24,24268;Madox;Self play;Fail;1;102;100%
212;31.12.2021 06:37:24;-4,658563;Jack;Self play;Win;1;102;100%
213;31.12.2021 06:38:28;-73,01645;Madox;Self play;Win;2;336;100%
214;31.12.2021 06:38:28;-34,18525;Jack;Self play;Fail;2;336;100%
215;31.12.2021 06:39:56;-76,25133;Madox;Self play;Win;2;449;34%
216;31.12.2021 06:39:56;-50,31169;Jack;Self play;Fail;2;449;37%
217;31.12.2021 06:40:12;-20,72017;Madox;Self play;Fail;1;81;45%
218;31.12.2021 06:40:12;-2,855065;Jack;Self play;Win;1;81;45%
219;31.12.2021 06:41:37;-51,73371;Madox;Self play;Fail;2;421;99%
220;31.12.2021 06:41:37;-17,262;Jack;Self play;Win;2;421;99%
221;31.12.2021 06:41:38;-1,764997;Madox;Self play;Win;1;6;100%
222;31.12.2021 06:41:39;-3,419998;Jack;Self play;Fail;1;6;100%
223;31.12.2021 06:42:00;-21,09013;Madox;Self play;Fail;1;115;100%
224;31.12.2021 06:42:00;-19,40545;Jack;Self play;Win;1;115;100%
225;31.12.2021 06:44:02;-118,2421;Madox;Self play;Win;3;644;53%
226;31.12.2021 06:44:02;-70,70459;Jack;Self play;Fail;3;644;53%
227;31.12.2021 06:44:11;-17,33016;Madox;Self play;Fail;1;47;99%
228;31.12.2021 06:44:11;0,9780085;Jack;Self play;Win;1;47;99%
